,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_act,param_batch_size,param_beta_1,param_beta_2,param_decay,param_dropout,param_epochs,param_l1,param_l2,param_lr,param_nl1,param_nl2,param_nl3,param_nn1,param_nn2,param_nn3,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,5.657334963480632,0.20311676263044076,0.466002623240153,0.11778847739342731,relu,200,0.9,0.9,1e-06,0.1,7,0,0,0.01,1,0,0,11,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 11, 'nn2': 7, 'nn3': 0}",0.012436048799685163,0.2089885187724093,0.11330359871416469,0.11156262910066135,0.08025436532495261,33
1,5.603669325510661,0.3816307180877407,0.5590000152587891,0.2351691562749182,relu,200,0.9,0.9,1e-06,0.1,7,0,0,0.01,1,0,0,10,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 10, 'nn2': 7, 'nn3': 0}",0.16144970848151083,0.1879069243207176,0.10786534605617473,0.15240855087743926,0.03329442858543631,18
2,4.968667507171631,0.6078393170726837,0.46299997965494794,0.07427432417233201,relu,200,0.9,0.9,1e-06,0.1,7,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.21857378110992226,0.14451077082792627,0.16006284875385499,0.17438845163642908,0.03188846273431261,7
3,6.50699782371521,0.2352435801601986,0.5276704629262289,0.20054724893985826,relu,200,0.9,0.9,1e-06,0.1,7,0,0,0.01,1,1,0,11,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 11, 'nn2': 7, 'nn3': 0}",0.16896535581262923,0.2085495380417138,0.10988722971341862,0.1624682545308876,0.040537269328563275,12
4,6.466001431147258,0.4371214018652571,0.4976662794748942,0.15457858872725408,relu,200,0.9,0.9,1e-06,0.1,7,0,0,0.01,1,1,0,10,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 10, 'nn2': 7, 'nn3': 0}",0.19022497740285677,0.1891261804157451,0.11598709614350652,0.16511615221805953,0.034738856820760236,11
5,6.498331467310588,0.4071476430664476,0.468669335047404,0.14957799960640006,relu,200,0.9,0.9,1e-06,0.1,7,0,0,0.01,1,1,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 7, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.1700945461039018,0.17377114232981433,0.11350293542074366,0.1524585966755051,0.027583884601959954,17
6,5.755998849868774,0.09064283831807879,0.5089999834696451,0.03765699667415498,relu,200,0.9,0.9,1e-06,0.1,8,0,0,0.01,1,0,0,11,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 8, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 11, 'nn2': 7, 'nn3': 0}",0.20229239455537024,0.14451077082792627,0.15453025016680727,0.16711590304216695,0.0252125677317106,10
7,4.934330145517985,0.2349205757877307,0.5713374614715576,0.04589999974102431,relu,200,0.9,0.9,1e-06,0.1,8,0,0,0.01,1,0,0,10,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 8, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 10, 'nn2': 7, 'nn3': 0}",0.012436048799685163,0.21546624597690137,0.0,0.07595882766711527,0.0987672052772397,35
8,5.474332968393962,0.12838964998289246,0.4826661745707194,0.034422829330531486,relu,200,0.9,0.9,1e-06,0.1,8,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 8, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.18113915424371715,0.2168666308553211,0.16106157305533791,0.18635507957369493,0.02307752702408852,2
9,5.938663800557454,0.3300582045032737,0.5866729418436686,0.0939258992036931,relu,200,0.9,0.9,1e-06,0.1,8,0,0,0.01,1,1,0,11,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 1e-06, 'dropout': 0.1, 'epochs': 8, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 11, 'nn2': 7, 'nn3': 0}",0.1548946813160084,0.20551908252396456,0.09519650655021836,0.1518704997442547,0.04508671392911853,19
