,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_act,param_batch_size,param_beta_1,param_beta_2,param_decay,param_dropout,param_epochs,param_l1,param_l2,param_lr,param_nl1,param_nl2,param_nl3,param_nn1,param_nn2,param_nn3,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.718202018737793,0.3132278104861262,0.5468019962310791,0.17213311075827178,relu,200,0.9,0,0.01,0.1,5,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0, 'decay': 0.01, 'dropout': 0.1, 'epochs': 5, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.012590163934426229,0.013350785340314137,0.17739261492087416,0.0777511961722488,0.0,0.056224565420278184,0.06640671835859054,5
1,5.306999778747558,0.3924362938949817,0.5624001026153564,0.1341894993049937,relu,200,0.9,0.8,0.01,0.1,5,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.8, 'decay': 0.01, 'dropout': 0.1, 'epochs': 5, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.2107911647032849,0.20590045982027863,0.17739261492087416,0.0777511961722488,0.0,0.13438528418280687,0.08253619699187838,2
2,5.599799728393554,0.30026324135543886,0.38280363082885743,0.0939334007145347,relu,200,0.9,0.9,0.01,0.1,5,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 200, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 0.01, 'dropout': 0.1, 'epochs': 5, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.012590163934426229,0.23496806206903767,0.18226095332809084,0.1501925092622381,0.03127326880119136,0.12226931321825438,0.08647423005425564,3
3,5.114399099349976,0.3041571354889333,0.4156005859375,0.0752047302800961,relu,500,0.9,0,0.01,0.1,5,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 500, 'beta_1': 0.9, 'beta_2': 0, 'decay': 0.01, 'dropout': 0.1, 'epochs': 5, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.012590163934426229,0.013350785340314137,0.17739261492087416,0.0777511961722488,0.0,0.056224565420278184,0.06640671835859054,5
4,4.898601484298706,0.41833578593422016,0.4869982242584229,0.09652037191116801,relu,500,0.9,0.8,0.01,0.1,5,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 500, 'beta_1': 0.9, 'beta_2': 0.8, 'decay': 0.01, 'dropout': 0.1, 'epochs': 5, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.012590163934426229,0.22696116002055344,0.17739261492087416,0.1351447613969608,0.027134146341463418,0.11585658319379023,0.08371138887735916,4
5,4.32919602394104,1.2080676615256967,0.29320263862609863,0.06940660569453375,relu,500,0.9,0.9,0.01,0.1,5,0,0,0.01,1,0,0,9,7,0,"{'act': 'relu', 'batch_size': 500, 'beta_1': 0.9, 'beta_2': 0.9, 'decay': 0.01, 'dropout': 0.1, 'epochs': 5, 'l1': 0, 'l2': 0, 'lr': 0.01, 'nl1': 1, 'nl2': 0, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",0.21046684560158452,0.22840976596034782,0.1678895013503533,0.0777511961722488,0.0314013206162876,0.14319886440242385,0.07638466176738876,1
