round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,first_neuron
100,0.5610061904568693,0.7359307408332825,0.5453008700084562,0.73046875,relu,10,12
100,0.5319578185742035,0.7316017150878906,0.5526451745148128,0.7447917,relu,10,24
100,0.5595657753221916,0.7272727489471436,0.5011511307287341,0.765625,relu,10,48
100,0.5476445569878533,0.7272727489471436,0.5936859768504897,0.703125,relu,20,12
100,0.7472394111352566,0.7272727489471436,0.5757699442716936,0.70963544,relu,20,24
100,0.4746606455736862,0.7748917937278748,0.5044612635392696,0.7552083,relu,20,48
100,0.6103165784439484,0.709956705570221,0.5755438620690256,0.7265625,relu,30,12
100,0.5626542870100443,0.709956705570221,0.5464056725613773,0.73307294,relu,30,24
100,0.4709042798389088,0.7748917937278748,0.4804418988060206,0.7708333,relu,30,48
100,0.5386236021012971,0.7359307408332825,0.4971123841047908,0.75390625,elu,10,12
100,0.45513983335329855,0.761904776096344,0.4864307979199414,0.77994794,elu,10,24
100,0.6529807844461301,0.7272727489471436,0.48829709137013805,0.7864583,elu,10,48
100,0.5097596989823626,0.7445887327194214,0.47727644133071107,0.7630208,elu,20,12
100,0.5513446883205727,0.7532467246055603,0.5111982187566658,0.75,elu,20,24
100,0.6391028062605755,0.6969696879386902,0.5028493201049665,0.76953125,elu,20,48
100,0.5582075637656373,0.7445887327194214,0.5941974297165871,0.71223956,elu,30,12
100,0.4975623225236868,0.7662337422370911,0.4969850967172533,0.76171875,elu,30,24
100,0.48847763066167954,0.7575757503509521,0.45410810643807054,0.78125,elu,30,48
