,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.081400680541992,0.17298676540318694,0.39839930534362794,0.014947721291100838,0.8,0,6,scale,rbf,True,"{'C': 0.8, 'coef0': 0, 'degree': 6, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.39759307792117216,0.4022792870028031,0.33960378975591954,0.2721249638892843,0.034544047760354156,0.2892635247319827,0.13578386780794968,136
1,2.9309996128082276,0.21774968898232697,0.2967996120452881,0.010419600213239703,0.8,0,6,scale,poly,True,"{'C': 0.8, 'coef0': 0, 'degree': 6, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.34616490165210617,0.3666709028940596,0.2933488204063991,0.21810386088489592,0.08502173262164589,0.26188599281303887,0.10223156097240511,180
2,2.1193986415863035,0.17199700373517762,0.4044005870819092,0.01693109234793745,0.8,0,7,scale,rbf,True,"{'C': 0.8, 'coef0': 0, 'degree': 7, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.39759307792117216,0.4022792870028031,0.33960378975591954,0.2721249638892843,0.034544047760354156,0.2892635247319827,0.13578386780794968,136
3,3.073197937011719,0.327039024124834,0.30520029067993165,0.015917091162686765,0.8,0,7,scale,poly,True,"{'C': 0.8, 'coef0': 0, 'degree': 7, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.3586500318259457,0.3722044941553459,0.3249217599633972,0.23015846998449313,0.0886642543985603,0.274945026272979,0.10550261581201163,169
4,2.110397529602051,0.21712908123280678,0.39680280685424807,0.025433513956100242,0.8,0,8,scale,rbf,True,"{'C': 0.8, 'coef0': 0, 'degree': 8, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.39759307792117216,0.4022792870028031,0.33960378975591954,0.2721249638892843,0.034544047760354156,0.2892635247319827,0.13578386780794968,136
5,3.3083963871002195,0.2772547200720097,0.3024013519287109,0.011535146773830541,0.8,0,8,scale,poly,True,"{'C': 0.8, 'coef0': 0, 'degree': 8, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.34730431821303,0.3515302740888197,0.3373836590953679,0.20766017518151947,0.0857752003330056,0.26595512347620676,0.10477727986236164,179
6,2.096997356414795,0.18833033226579635,0.4011995792388916,0.013348134188344938,0.8,0,9,scale,rbf,True,"{'C': 0.8, 'coef0': 0, 'degree': 9, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.39759307792117216,0.4022792870028031,0.33960378975591954,0.2721249638892843,0.034544047760354156,0.2892635247319827,0.13578386780794968,136
7,3.290997362136841,0.33123396581381065,0.30300040245056153,0.013037584211806131,0.8,0,9,scale,poly,True,"{'C': 0.8, 'coef0': 0, 'degree': 9, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.3473701289354906,0.35215621945784226,0.33920509984569647,0.21466357128389563,0.0881109009897256,0.26832558690360175,0.10357773869458434,177
8,2.0771973609924315,0.21482555804568787,0.40400004386901855,0.014764789638862501,0.8,0,10,scale,rbf,True,"{'C': 0.8, 'coef0': 0, 'degree': 10, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.39759307792117216,0.4022792870028031,0.33960378975591954,0.2721249638892843,0.034544047760354156,0.2892635247319827,0.13578386780794968,136
9,3.5149983406066894,0.36746318526622357,0.3086000919342041,0.012816001567716784,0.8,0,10,scale,poly,True,"{'C': 0.8, 'coef0': 0, 'degree': 10, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.35497544659303226,0.3573620766379525,0.37419737148738663,0.20031686396061982,0.08514862167556778,0.27442570600785593,0.1136868659819478,170
10,2.0565985202789308,0.20240844681062795,0.40999999046325686,0.025115018630855544,0.8,0.3,6,scale,rbf,True,"{'C': 0.8, 'coef0': 0.3, 'degree': 6, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.39759307792117216,0.4022792870028031,0.33960378975591954,0.2721249638892843,0.034544047760354156,0.2892635247319827,0.13578386780794968,136
11,2.4513967037200928,0.3241322500159691,0.25820002555847166,0.01586706616868181,0.8,0.3,6,scale,poly,True,"{'C': 0.8, 'coef0': 0.3, 'degree': 6, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5181200262117974,0.5299462073598612,0.4823391688193803,0.35360265354964404,0.09714285714285713,0.39627068740076454,0.16209837688380407,75
12,2.0231985569000246,0.19008865561662003,0.4029996871948242,0.01856723982877282,0.8,0.3,7,scale,rbf,True,"{'C': 0.8, 'coef0': 0.3, 'degree': 7, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.39759307792117216,0.4022792870028031,0.33960378975591954,0.2721249638892843,0.034544047760354156,0.2892635247319827,0.13578386780794968,136
13,2.6707979679107665,0.4135413954977191,0.2501991271972656,0.015236831128732212,0.8,0.3,7,scale,poly,True,"{'C': 0.8, 'coef0': 0.3, 'degree': 7, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5286172443558584,0.5369025930338747,0.4958237866687488,0.35062489881125936,0.10377089381248021,0.4031884273491101,0.16405150614466796,73
