,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5820000171661377,0.012214593802262644,0.09860119819641114,0.004222341228600228,0.7,0,6,scale,rbf,True,"{'C': 0.7, 'coef0': 0, 'degree': 6, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
1,0.7789993762969971,0.023049436952643398,0.06579999923706055,0.0013269491779473999,0.7,0,6,scale,poly,True,"{'C': 0.7, 'coef0': 0, 'degree': 6, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.4317919027411972,0.41831474175942707,0.43196234438076314,0.45445647739532463,0.45811288177763976,0.4389217917885153,0.015055412539955572,144
2,0.5751982212066651,0.005075613729956179,0.09540038108825684,0.005747981600902889,0.7,0,7,scale,rbf,True,"{'C': 0.7, 'coef0': 0, 'degree': 7, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
3,0.812399959564209,0.014597221378417808,0.06739940643310546,0.002798962761133477,0.7,0,7,scale,poly,True,"{'C': 0.7, 'coef0': 0, 'degree': 7, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.42826201572072436,0.43860734779203336,0.4461550583119142,0.44717916380254064,0.4593270759410019,0.4439014077598356,0.010258540655385073,141
4,0.5731998443603515,0.008749682929507254,0.0962000846862793,0.006675418228062829,0.7,0,8,scale,rbf,True,"{'C': 0.7, 'coef0': 0, 'degree': 8, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
5,0.8355981826782226,0.019926050002910343,0.06960005760192871,0.0032618227740613334,0.7,0,8,scale,poly,True,"{'C': 0.7, 'coef0': 0, 'degree': 8, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.43004135702731744,0.4162835429128337,0.4350001532101823,0.45613266187868523,0.46219119685377347,0.4399229620902602,0.016964741741666355,143
6,0.5741995334625244,0.008818418396292875,0.09780035018920899,0.008657978879943217,0.7,0.3,6,scale,rbf,True,"{'C': 0.7, 'coef0': 0.3, 'degree': 6, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
7,0.7969999790191651,0.04507010648538489,0.07119913101196289,0.015430829748288298,0.7,0.3,6,scale,poly,True,"{'C': 0.7, 'coef0': 0.3, 'degree': 6, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5126553135015257,0.524004839358566,0.53311438864303,0.5187343081382619,0.5420136102815675,0.5260996178674648,0.010407933732545503,77
8,0.597598648071289,0.029621619039414553,0.09140028953552246,0.0041755345006664136,0.7,0.3,7,scale,rbf,True,"{'C': 0.7, 'coef0': 0.3, 'degree': 7, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
9,0.8437990188598633,0.0426120056605894,0.06599969863891601,0.0012650834929715275,0.7,0.3,7,scale,poly,True,"{'C': 0.7, 'coef0': 0.3, 'degree': 7, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5100068512348346,0.5205895956374655,0.5358721213237044,0.5363902818981952,0.5497976533120228,0.5305253979996788,0.013812012342837675,58
10,0.5755998611450195,0.0061186823297674124,0.09479999542236328,0.005844956546832315,0.7,0.3,8,scale,rbf,True,"{'C': 0.7, 'coef0': 0.3, 'degree': 8, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
11,0.9088002681732178,0.029026382576848617,0.06839952468872071,0.003498759161026938,0.7,0.3,8,scale,poly,True,"{'C': 0.7, 'coef0': 0.3, 'degree': 8, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.4944905164295205,0.5142160703444464,0.540162114210762,0.5305746066742966,0.5467646099395257,0.5252349894552434,0.018875010297558094,78
12,0.5647989749908447,0.014918729788807893,0.08920121192932129,0.002399802612397316,0.7,0.7,6,scale,rbf,True,"{'C': 0.7, 'coef0': 0.7, 'degree': 6, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.504542010655356,0.4992110859591995,0.5281451144034857,0.5240136292312035,0.5251317851380053,0.5162059912967942,0.011900771413250775,115
13,1.1674001693725586,0.04844125426952594,0.062200403213500975,0.005230011576185815,0.7,0.7,6,scale,poly,True,"{'C': 0.7, 'coef0': 0.7, 'degree': 6, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5416643371875736,0.5796110107772117,0.5882782933356272,0.5543024504074354,0.5573591677339579,0.5642451609214967,0.017147865649890036,48
