,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_shrinking,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6371995449066162,0.013422161099844154,0.09840006828308105,0.005534738258681557,0.7,0.5,4,scale,rbf,True,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True, 'tol': 0.0001}",-0.4885844748858447,-0.5152439024390244,-0.5213414634146342,-0.5076219512195121,-0.5548780487804879,-0.5175251447729351,0.021685033318165545,17
1,0.725798225402832,0.025047270951184693,0.0946000099182129,0.003006593689830076,0.7,0.5,4,scale,rbf,False,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False, 'tol': 0.0001}",-0.4885844748858447,-0.5152439024390244,-0.5213414634146342,-0.5076219512195121,-0.5548780487804879,-0.5175251447729351,0.021685033318165545,17
2,0.42239861488342284,0.022141953314793527,0.05560016632080078,0.0017438489220841164,0.7,0.5,4,scale,linear,True,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True, 'tol': 0.0001}",-0.5266362252663622,-0.5625,-0.5472560975609756,-0.5503048780487805,-0.5975609756097561,-0.5568424260896069,0.023399215591551906,49
3,0.40059924125671387,0.029158873249845677,0.057399940490722653,0.009891641254506913,0.7,0.5,4,scale,linear,False,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False, 'tol': 0.0001}",-0.5266362252663622,-0.5625,-0.5472560975609756,-0.5503048780487805,-0.5975609756097561,-0.5568424260896069,0.023399215591551906,49
4,4.282600402832031,0.19409610593383203,0.0699997901916504,0.013652512577640186,0.7,0.5,4,scale,poly,True,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True, 'tol': 0.0001}",-0.4946727549467275,-0.5442073170731707,-0.5030487804878049,-0.5060975609756098,-0.5259146341463414,-0.5147820786345626,0.017929756641941554,11
5,12.475291681289672,1.2512349994054883,0.06399679183959961,0.0016737509105201939,0.7,0.5,4,scale,poly,False,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': False, 'tol': 0.0001}",-0.4946727549467275,-0.5442073170731707,-0.5030487804878049,-0.5060975609756098,-0.5259146341463414,-0.5147820786345626,0.017929756641941554,11
6,0.6991997241973877,0.020951386794058363,0.14039993286132812,0.015957551421640227,0.7,0.5,4,scale,sigmoid,True,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True, 'tol': 0.0001}",-0.6484018264840182,-0.663109756097561,-0.6600609756097561,-0.6966463414634146,-0.698170731707317,-0.6732703444071929,0.02031230410186809,121
7,0.6835992813110352,0.016475520268191546,0.13479986190795898,0.012399921880509451,0.7,0.5,4,scale,sigmoid,False,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False, 'tol': 0.0001}",-0.6484018264840182,-0.663109756097561,-0.6600609756097561,-0.6966463414634146,-0.698170731707317,-0.6732703444071929,0.02031230410186809,121
8,0.6501994609832764,0.011196138649010975,0.09539985656738281,0.003200173397085524,0.7,0.5,4,auto,rbf,True,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True, 'tol': 0.0001}",-0.5494672754946728,-0.5929878048780488,-0.5762195121951219,-0.5777439024390244,-0.6082317073170732,-0.5809204510819872,0.019564978154097357,81
9,0.6791995525360107,0.023877867119670246,0.09739990234375,0.003878214455081592,0.7,0.5,4,auto,rbf,False,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False, 'tol': 0.0001}",-0.5494672754946728,-0.5929878048780488,-0.5762195121951219,-0.5777439024390244,-0.6082317073170732,-0.5809204510819872,0.019564978154097357,81
10,0.37099905014038087,0.007873788421957614,0.052200031280517575,0.0027856298126250605,0.7,0.5,4,auto,linear,True,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True, 'tol': 0.0001}",-0.5266362252663622,-0.5625,-0.5472560975609756,-0.5503048780487805,-0.5975609756097561,-0.5568424260896069,0.023399215591551906,49
11,0.3749996185302734,0.02229798252078051,0.05300016403198242,0.0028982956189116484,0.7,0.5,4,auto,linear,False,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False, 'tol': 0.0001}",-0.5266362252663622,-0.5625,-0.5472560975609756,-0.5503048780487805,-0.5975609756097561,-0.5568424260896069,0.023399215591551906,49
12,0.4755999565124512,0.011056340717173112,0.07459988594055175,0.005199718481901008,0.7,0.5,4,auto,poly,True,0.0001,"{'C': 0.7, 'coef0': 0.5, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': True, 'tol': 0.0001}",-0.6179604261796042,-0.635670731707317,-0.6295731707317073,-0.6417682926829268,-0.6051829268292683,-0.6260286498018897,0.013059474539824489,95
