,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_act,param_decay,param_dropout,param_epochs,param_l1,param_l2,param_lr,param_nl1,param_nl2,param_nl3,param_nn1,param_nn2,param_nn3,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11,2.795602560043335,0.21064598542735832,0.21234917640686035,0.05116031764380123,relu,1e-06,0,3,0,0.001,0.01,0,1,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0, 'l2': 0.001, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.5255941499085923,-0.5776965265082267,-0.576395242451967,-0.5598902773544651,0.024262383888180288,21
12,2.33374293645223,0.17944730927386648,0.15442840258280435,0.028912233579544543,relu,1e-06,0,3,0,0.001,1e-05,0,0,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0, 'l2': 0.001, 'lr': 1e-05, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-2.7678244972577697,-2.7614259597806217,-0.970722781335773,-2.1670222493142335,0.8455288000487797,123
13,2.1467157999674478,0.08795574660423823,0.14657513300577799,0.0464773221446328,relu,1e-06,0,3,0,0.001,1e-05,0,0,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0, 'l2': 0.001, 'lr': 1e-05, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-1.6042047531992687,-2.6243144424131626,-1.0054894784995425,-1.7448948491313623,0.6682817043272783,103
14,2.797435919443766,0.22259076161160601,0.16941181818644205,0.03788424465002808,relu,1e-06,0,3,0,0.001,1e-05,0,1,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0, 'l2': 0.001, 'lr': 1e-05, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-0.9835466179159049,-1.7084095063985374,-0.7886550777676121,-1.1603169765315453,0.3957282861707105,72
15,3.1266514460245767,0.4596304613257991,0.24446376164754233,0.014031186449049453,relu,1e-06,0,3,0,0.001,1e-05,0,1,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0, 'l2': 0.001, 'lr': 1e-05, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-1.20018281535649,-0.6380255941499086,-2.5260750228728273,-1.4544346235903687,0.791434065744013,84
16,2.305703639984131,0.11678025313735976,0.12486926714579265,0.02907733439807794,relu,1e-06,0,3,0.001,0,0.01,0,0,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 0.01, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-0.5347349177330896,-0.553016453382084,-0.57548032936871,-0.5544041450777202,0.016661907294721584,14
17,2.2384678522745767,0.1324563178225655,0.14795494079589844,0.05350334853943925,relu,1e-06,0,3,0.001,0,0.01,0,0,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 0.01, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.5310786106032906,-0.5521023765996343,-0.5827996340347666,-0.5553185004571777,0.02123558566905119,16
18,3.1165175437927246,0.18297158381368228,0.1730769475301107,0.022964622333447874,relu,1e-06,0,3,0.001,0,0.01,0,1,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-0.5210237659963437,-0.5795246800731262,-0.616651418115279,-0.572386467540384,0.03936196237522042,45
19,2.6961849530537925,0.19270691540381948,0.17640296618143717,0.029789370901703704,relu,1e-06,0,3,0.001,0,0.01,0,1,0,12,8,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 12, 'nn2': 8, 'nn3': 10}",-0.546617915904936,-0.546617915904936,-0.6276303751143641,-0.5736056080463273,0.038183815703024676,49
20,2.322899103164673,0.2011650326008806,0.13418380419413248,0.023135503236877086,relu,1e-06,0,3,0.001,0,1e-05,0,0,0,12,11,10,"{'act': 'relu', 'decay': 1e-06, 'dropout': 0, 'epochs': 3, 'l1': 0.001, 'l2': 0, 'lr': 1e-05, 'nl1': 0, 'nl2': 0, 'nl3': 0, 'nn1': 12, 'nn2': 11, 'nn3': 10}",-1.653564899451554,-2.764168190127971,-1.1866422689844465,-1.8683328253581226,0.6616453389476628,113
